2025-09-02 02:28:10.884 -04:00 [INF] ========================================================================================
2025-09-02 02:28:10.928 -04:00 [INF] Inicia el proceso para Rnc: 131254268
2025-09-02 02:28:10.930 -04:00 [INF] inicializar el browser
2025-09-02 02:28:17.045 -04:00 [INF] Busca los datos del RNC en la BD
2025-09-02 02:28:17.251 -04:00 [INF] Hace login
2025-09-02 02:28:22.468 -04:00 [INF] Espera por el Iframe que indica si hay mensajes por leer
2025-09-02 02:28:37.562 -04:00 [INF] TimeoutException: El iframe no fue encontrado dentro del tiempo esperado. Detalles: Timeout of 15000 ms exceeded
2025-09-02 02:28:37.566 -04:00 [INF] Busca el nombre de la compania (Razon Social) en la pagina
2025-09-02 02:28:38.966 -04:00 [INF] El nombre de la compania es DEVELOPMENT 088 SRL
2025-09-02 02:28:38.967 -04:00 [INF] Determina ultimo periodo declarado.
2025-09-02 02:28:40.518 -04:00 [INF] Id del link del formulario IT1: ctl00_ContentPlaceHolder1_dgResumenDoc_ctl06_HyperLink2, esto es para dar click y buscar el ultimo período reportado.
2025-09-02 11:39:34.071 -04:00 [INF] El nombre de la compania es DEVELOPMENT 088 SRL
2025-09-02 11:39:34.073 -04:00 [INF] Determina ultimo periodo declarado.
2025-09-02 11:39:35.666 -04:00 [INF] Id del link del formulario IT1: ctl00_ContentPlaceHolder1_dgResumenDoc_ctl06_HyperLink2, esto es para dar click y buscar el ultimo período reportado.
2025-09-02 11:39:50.722 -04:00 [INF] Delcaracion 606, periodo 201911
2025-09-02 11:39:54.892 -04:00 [WRN] El periodo 201911 ya se encuentra presentado para el 606, el mensaje obtenido de la DGII fue: Periodo digitado no válido. Este periodo ya se encuentra presentado
2025-09-02 11:39:54.895 -04:00 [INF] Delcaracion 607, periodo 201911
2025-09-02 11:39:58.811 -04:00 [WRN] El periodo 201911 ya se encuentra presentado para el 607, el mensaje obtenido de la DGII fue: Periodo digitado no válido. Este periodo ya se encuentra presentado
2025-09-02 11:39:58.813 -04:00 [INF] Delcaracion Anexo IT1, periodo 201911
2025-09-02 11:40:21.917 -04:00 [INF] Delcaracion IT1, periodo 201911
2025-09-02 11:40:45.922 -04:00 [INF] Delcaracion 606, periodo 201912
2025-09-02 11:40:52.929 -04:00 [INF] Delcaracion 607, periodo 201912
2025-09-02 11:40:56.911 -04:00 [INF] Delcaracion Anexo IT1, periodo 201912
2025-09-02 11:41:17.468 -04:00 [INF] Delcaracion IT1, periodo 201912
2025-09-02 11:41:40.674 -04:00 [INF] Delcaracion 606, periodo 202001
